Country,latitude,longitude,name,WB_2016
Albania,41.153332,20.168331,AL,4147
Austria,47.516231,14.550072,AT,44177
Belgium,50.503887,4.469936,BE,41096
Bosnia and Herzegovina,43.915886,17.679076,BA,4709
Bulgaria,42.733883,25.48583,BG,7351
Croatia,45.1,15.2,HR,12091
Cyprus,35.126413,33.429859,CY,23324
Czech Republic,49.817492,15.472962,CZ,18267
Denmark,56.26392,9.501785,DK,53418
Estonia,58.595272,25.013607,EE,17575
Finland,61.92411,25.748151,FI,43090
France,46.227638,2.213749,FR,36855
Germany,51.165691,10.451526,DE,41936
Greece,39.074208,21.824312,GR,18104
Hungary,47.162494,19.503304,HU,12665
Ireland,53.41291,-8.24389,IE,61607
Italy,41.87194,12.56738,IT,30527
Kosovo,42.602636,20.902977,XK,3661
Latvia,56.879635,24.603189,LV,14118
Lithuania,55.169438,23.881275,LT,14880
Luxembourg,49.815273,6.129583,LU,102831
Macedonia [FYROM],41.608635,21.745275,MK,5237
Malta,35.937496,14.375416,MT,25058
Montenegro,42.708678,19.37439,ME,6701
Netherlands,52.132633,5.291266,NL,45295
Poland,51.919438,19.145136,PL,12372
Portugal,39.399872,-8.224454,PT,19813
Romania,45.943161,24.96676,RO,9474
Serbia,44.016521,21.005859,RS,5348
Slovakia,48.669026,19.699024,SK,16496
Slovenia,46.151241,14.995463,SI,21305
Spain,40.463667,-3.74922,ES,26529
Sweden,60.128161,18.643501,SE,51600
United Kingdom,55.378051,-3.435973,GB,39899
